,New Weight,Old Weight,Turnover
IOT,0.13265630383560323,0.007668505106576001,0.12498779872902722
VET,0.003007403834981565,0.0034685007318780003,0.0004610968968964354
MAID,0.0004644493401476931,0.0005356589818382257,7.120964169053261e-05
BNB,0.006069070486291173,0.004628444269901001,0.0014406262163901727
XEM,0.003647794542930999,0.0042070765138770005,0.0005592819709460016
DCR,0.0013856338532204121,0.001556030456083,0.00017039660286258793
LSK,0.001522707142947334,0.0017348696589490002,0.0002121625160016662
ZIL,0.0011430300360102817,0.0012822669975390002,0.00013923696152871846
MANA,0.00033324237693241224,0.00038433529107007123,5.109291413765899e-05
ZRX,0.0014648525406665508,0.0016827675293500002,0.0002179149886834494
